"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"1","3218723388163104","General","General",1,0,0
"2","3218141598221283","General","General",3,0,1
"3","3209534662415310","General","General",1,0,1
"4","3209361415765968","General","General",0,0,0
"5","3199042853464491","General","General",4,0,1
"6","3176527842382659","General","General",3,0,1
"7","3170721366296640","General","Climate Change",2,0,1
"8","3153685384666905","General","Climate Change",6,1,1
"9","3153759464659497","General","General",1,0,0
"10","3134412553260855","General","Climate Change",4,0,1
"11","3131661063536004","General","General",1,0,0
"12","3126005564101554","General","General",4,0,1
"13","3125973107438133","General","General",3,0,0
"14","3117685328266911","General","General",7,0,0
"15","3074091262626318","General","Climate Change",1,0,1
"16","3071328869569224","General","Climate Change",9,0,1
"17","3040387515996693","General","General",9,0,3
"18","3037494466285998","General","General",1,0,0
"19","3020599414642170","General","General",2,0,0
"20","3015074611861317","General","General",10,0,2
"21","3007812585920853","General","Climate Change",8,0,1
"22","2985742094794569","General","General",6,0,2
"23","2983092588392853","General","General",3,0,0
"24","2982879398414172","General","Climate Change",6,0,0
"25","2980463121989133","General","Climate Change",3,0,0
"26","2980279702007475","General","General",3,0,2
"27","2978538442181601","General","General",5,0,0
"28","2978018958900216","General","General",0,0,0
"29","2970681996300579","General","General",2,0,0
"30","2968109136557865","General","General",5,0,1
"31","2968088536559925","General","General",14,0,1
"32","2926442844057828","General","General",19,4,2
"33","2919427704759342","General","Climate Change",7,0,3
"34","2917030661665713","General","General",2,0,3
"35","2912996988735747","General","General",11,0,5
"36","2896208577081255","General","Climate Change",10,1,0
"37","2883059435062836","General","Climate Change",1,0,0
"38","2882687188433394","General","Climate Change",1,0,0
"39","2867407556628024","General","General",2,0,0
"40","2867378076630972","General","General",25,0,0
"41","2866689880033125","General","Climate Change",0,0,0
"42","2867476903287756","General","General",5,0,2
"43","2850263371675776","General","General",1,0,1
"44","2800889759946471","General","General",5,0,2
"45","2800882936613820","General","General",2,0,1
"46","2800875546614559","General","General",1,0,0
"47","2787697341265713","General","General",10,0,0
"48","2778356798866434","General","General",19,0,3
"49","2757319237636857","General","General",6,0,2
"50","10158793299044433","General","General",18,1,6
"51","10158787231209433","General","General",15,0,5
"52","10158782189589433","General","General",3,1,2
"53","10158784836079433","General","General",25,0,47
"54","10158779442094433","General","General",6,0,4
"55","10158776872144433","General","General",4,0,6
"56","10158774247799433","General","General",4,0,1
"57","10158774251879433","General","General",9,0,0
"58","10158765650719433","General","General",8,0,1
"59","10158760885094433","General","General",4,0,0
"60","10158763185104433","General","General",13,0,18
"61","10158758797749433","General","General",8,0,0
"62","10158758755574433","General","General",7,2,4
"63","10158755540914433","General","General",8,1,2
"64","10158755533884433","General","General",6,0,2
"65","10158746979699433","General","General",3,0,3
"66","10158744492414433","General","General",8,1,0
"67","10158746969039433","General","General",8,0,2
"68","10158741683399433","General","General",1,0,1
"69","10158741189509433","General","General",12,0,5
"70","10158739243184433","General","General",4,0,3
"71","10158735380654433","General","General",3,1,2
"72","10158726295984433","General","General",11,0,4
"73","10158723338004433","General","General",9,0,3
"74","10158720680554433","General","General",10,0,3
"75","10158716891084433","General","General",6,0,3
"76","10158717523884433","General","General",2,1,0
"77","10158716807964433","General","General",4,0,7
"78","10158716796299433","General","General",9,0,7
"79","10158713833609433","General","General",8,2,2
"80","10158704298079433","General","General",6,0,3
"81","10158698313239433","General","General",8,0,7
"82","10158697720714433","General","General",9,0,1
"83","10158690779564433","General","General",7,0,4
"84","10158690777609433","General","General",57,0,46
"85","10158690773099433","General","General",7,0,2
"86","10158684995429433","General","General",9,0,6
"87","10158683267539433","General","General",4,0,6
"88","10158673538914433","General","General",3,1,3
"89","10158673533289433","General","General",9,0,3
"90","10158673527304433","General","General",9,0,6
"91","10158660987459433","General","General",5,0,3
"92","10158657994009433","General","General",15,4,9
"93","10158654518134433","General","General",6,0,10
"94","10158651467314433","General","General",9,0,0
"95","10158643841229433","General","General",8,2,1
"96","10158639362704433","General","General",4,0,6
"97","10158636140734433","General","General",13,0,6
"98","10158632696364433","General","General",15,0,10
"99","10158629738999433","General","General",10,0,2
"100","10158626643669433","General","General",6,0,6
"101","10158620305109433","General","General",10,0,18
"102","10158620301024433","General","General",8,0,4
"103","10158617393054433","General","General",1,0,2
"104","10158613882239433","General","General",16,0,4
"105","10158609731534433","General","General",5,0,1
"106","10158604951854433","General","General",2,0,5
"107","10158600334574433","General","General",11,0,14
"108","10158590912789433","General","General",13,0,5
"109","10158586974879433","General","General",3,1,5
"110","10158583982454433","General","General",6,0,0
"111","10158580504399433","General","General",8,0,2
"112","10158577450629433","General","General",5,0,2
"113","10158577447544433","General","General",3,3,1
"114","10158567763049433","General","General",9,0,4
"115","10158559227064433","General","General",6,0,6
"116","10158561703209433","General","General",5,2,27
