"","status_id","Topic_page","Topic","favorite_count","retweet_count"
"1","1239870974029369352","General","General",0,1
"2","1252173937750007808","General","General",0,0
"3","1251065361463730177","General","General",2,0
"4","1269934949295099904","General","General",10,3
"5","1289110572768940032","General","General",3,0
"6","1288383761193865221","General","General",6,2
"7","1287309180144033795","General","General",0,0
"8","1287307921919897606","General","General",0,1
"9","1287306663288950785","General","General",0,1
"10","1287305405316530177","General","General",1,1
"11","1287304146769633280","General","General",2,0
"12","1287302888637661187","General","General",0,0
"13","1287301630254182400","General","General",0,0
"14","1287300372105531393","General","General",1,0
"15","1287299113873072131","General","General",0,0
"16","1287297855565242368","General","General",1,0
"17","1287296597617856513","General","General",3,0
"18","1285825489530228742","General","General",1,1
"19","1285584083180040192","General","General",1,0
"20","1285582011164438535","General","General",0,0
"21","1285580021961302020","General","General",1,1
"22","1285579841610436609","General","General",0,0
"23","1285576746599886848","General","General",1,0
"24","1285573693922574336","General","General",3,0
"25","1282637536679071745","General","General",17,4
"26","1280848267950149634","General","General",2,0
"27","1280763549246197764","General","General",11,11
"28","1280758516622360576","General","General",4,0
"29","1280745429764730882","General","Climate Change",6,2
"30","1280130591367856130","General","General",7,3
"31","1277866713124659201","General","General",4,1
"32","1277587626900566016","General","General",0,0
"33","1277572522645557250","General","General",0,0
"34","1277541200522813441","General","General",5,3
"35","1275338640693084162","General","General",5,0
"36","1272848647143776256","General","General",3,2
"37","1272846690245107713","General","General",4,3
"38","1270672993560207361","General","General",14,7
"39","1265296637662019590","General","General",3,2
"40","1265218860279570432","General","General",1,0
"41","1264927896289902595","General","General",12,11
"42","1264817921605451779","General","General",11,4
"43","1263930418488885248","General","General",0,0
"44","1263929973691297793","General","General",0,0
"45","1263871931729825793","General","General",0,2
"46","1263870589569302529","General","Vaccines",5,4
"47","1263868425719382016","General","General",1,2
"48","1263867057134862336","General","General",9,1
"49","1263494978183073792","General","General",21,12
"50","1259196941763850240","General","General",1,0
"51","1259107870119002112","General","General",22,10
"52","1258703673162715136","General","General",13,3
"53","1252984491322363909","General","General",8,3
"54","1251801113201967105","General","General",14,12
"55","1250748332936495109","General","General",2,2
"56","1250738508576231425","General","General",4,1
"57","1245016859075846153","General","General",15,6
"58","1245011077185835011","General","Vaccines",1,0
"59","1243816207708545024","General","General",1,1
"60","1241395673192374273","General","General",14,8
"61","1240231354312404993","General","General",13,10
"62","1239828212617748480","General","General",0,0
"63","1238479246080856069","General","General",6,4
"64","1238455226488827905","General","General",8,8
"65","1238452273442938880","General","General",2,0
"66","1237016044868337664","General","General",2,1
"67","1237014975891361792","General","General",0,0
"68","1237008201654120449","General","General",1,0
"69","1234766022219124736","General","General",5,1
"70","1234750948230205444","General","General",3,1
"71","1232990885043933184","General","General",4,0
"72","1290660630005940227","Vaccines","Vaccines",1,2
"73","1290660396710465536","Vaccines","Vaccines",1,2
"74","1290577968834547713","Vaccines","Vaccines",0,2
"75","1288766029695463425","Vaccines","Vaccines",1,1
"76","1288107440215453707","Vaccines","Vaccines",3,5
"77","1288097942432358402","Vaccines","Vaccines",1,4
"78","1288038737226629121","Vaccines","Vaccines",2,1
"79","1286658657661399046","Vaccines","Vaccines",2,0
"80","1286658519857586176","Vaccines","Vaccines",0,0
"81","1286658518553112577","Vaccines","Vaccines",1,2
"82","1286630696744869889","Vaccines","Vaccines",14,5
"83","1286629810253463553","Vaccines","Vaccines",0,0
"84","1286629316651032576","Vaccines","Vaccines",0,0
"85","1286628096628711424","Vaccines","Vaccines",0,0
"86","1286626556329299968","Vaccines","Vaccines",3,1
"87","1286626555016491008","Vaccines","Vaccines",4,3
"88","1286351733237714944","Vaccines","Vaccines",0,0
"89","1286351394371493888","Vaccines","Vaccines",0,0
"90","1286348404445130753","Vaccines","Vaccines",0,0
"91","1286345867885260806","Vaccines","Vaccines",0,0
"92","1286341723354996737","Vaccines","Vaccines",1,0
"93","1286341477468114944","Vaccines","Vaccines",0,0
"94","1286341199142453248","Vaccines","Vaccines",1,0
"95","1286340446646566912","Vaccines","Vaccines",1,1
"96","1286339709577330690","Vaccines","Vaccines",0,0
"97","1286339302637674496","Vaccines","Vaccines",0,0
"98","1286337662568337410","Vaccines","Vaccines",0,0
"99","1286337295084326922","Vaccines","Vaccines",0,0
"100","1286337254139584512","Vaccines","Vaccines",0,0
"101","1286337164012380161","Vaccines","Vaccines",0,0
"102","1286336724851920905","Vaccines","Vaccines",0,0
"103","1286336476880527361","Vaccines","Vaccines",0,0
"104","1286335778948292614","Vaccines","Vaccines",1,0
"105","1286331290912989186","Vaccines","Vaccines",0,0
"106","1286330841468153857","Vaccines","Vaccines",1,0
"107","1286322100446408705","Vaccines","Vaccines",2,0
"108","1286322098810560513","Vaccines","Vaccines",3,2
"109","1286320800916819968","Vaccines","Vaccines",1,1
"110","1286319956460802049","Vaccines","Vaccines",3,0
"111","1286293925976772608","Vaccines","Vaccines",1,0
"112","1286288662293032964","Vaccines","Vaccines",0,0
"113","1286271652041560064","Vaccines","Vaccines",0,0
"114","1286245184905392128","Vaccines","Vaccines",1,1
"115","1286236361050083328","Vaccines","Vaccines",2,2
"116","1286234404944261122","Vaccines","Vaccines",0,0
"117","1286233328425865219","Vaccines","Vaccines",4,2
"118","1286232905124020225","Vaccines","Vaccines",5,5
"119","1286226476526899201","Vaccines","Vaccines",1,0
"120","1286225554061107201","Vaccines","Vaccines",1,0
"121","1285979433350967297","Vaccines","Vaccines",11,14
"122","1285866675070435328","Vaccines","Vaccines",13,3
"123","1285562870181302272","Vaccines","Vaccines",1,0
"124","1285511679359541248","Vaccines","Vaccines",1,0
"125","1285228094106861570","Vaccines","Vaccines",1,0
"126","1285144316843892740","Vaccines","Vaccines",3,0
"127","1284579511909195778","Vaccines","Vaccines",0,0
"128","1284476474217693184","Vaccines","Vaccines",0,0
"129","1284474090611445766","Vaccines","Vaccines",0,0
"130","1284472403192619008","Vaccines","Vaccines",0,0
"131","1284471450561392643","Vaccines","Vaccines",0,0
"132","1284056572537208834","Vaccines","Vaccines",0,1
"133","1284051969540329487","Vaccines","Vaccines",2,3
"134","1284050518352986112","Vaccines","Vaccines",5,3
"135","1283752989115678723","Vaccines","Vaccines",8,1
"136","1283698456465481728","Vaccines","Vaccines",4,4
"137","1283432484638732288","Vaccines","Vaccines",8,1
"138","1283430768711213060","Vaccines","Vaccines",0,0
"139","1283428680107204614","Vaccines","Vaccines",1,0
"140","1283428223020412928","Vaccines","Vaccines",1,0
"141","1283340132435795973","Vaccines","Vaccines",0,0
"142","1283339285278711809","Vaccines","Vaccines",0,0
"143","1283328865897795584","Vaccines","Vaccines",3,0
"144","1283328123526950912","Vaccines","Vaccines",0,0
"145","1282987012690149378","Vaccines","Vaccines",3,0
"146","1282683494276136962","Vaccines","Vaccines",1,0
"147","1282313276030943232","Vaccines","Vaccines",2,0
"148","1281624723856560128","Vaccines","Vaccines",8,4
"149","1281617239133872129","Vaccines","Vaccines",2,0
"150","1281611967703244800","Vaccines","Vaccines",3,0
"151","1281602330035662849","Vaccines","Vaccines",8,0
"152","1281591878396387333","Vaccines","Vaccines",1,0
"153","1281591776478932992","Vaccines","Vaccines",0,0
"154","1281580245313888259","Vaccines","Vaccines",2,3
"155","1281528466857492481","Vaccines","Vaccines",1,0
"156","1281523287118553088","Vaccines","Vaccines",20,1
